_2015_h8,idstd2005,_2005_q86a10,_2005_q86a6,n5b,d1a3,l1,id2015,n2f,k2c,d2,d10,_2005_q86a9,n2i,_2005_q86a11,idstd2015,i2b,k1c,_2005_q86a1,_2005_q86a5,id2005,_2005_q86a3,n2e,idstd2009,_2005_q86a4,a6a,_2005_q86a8,id2009,i4b,n2a,_2005_q87d,d11,c9b,n5a,n2b,_2005_q87a,main_activity_sales,total_purchases_2015,purchased_on_credit
0.0,60492.0,,,0.0,90.0,500.0,,1000000000.0,90.0,23000000000.0,0.0,,,,599646.0,120000000.0,100.0,,,,,7000000000.0,466199.0,,3.0,,230.0,,12000000000.0,,0.0,,1000000000.0,400000000.0,,20700000000.0,1000000000.0,1000000000.0
0.0,,,,0.0,100.0,300.0,10796.0,-9.0,20.0,30000000000.0,0.0,,,,599646.0,200000000.0,0.0,,,,,10320000000.0,,,3.0,,,,6500000000.0,,0.0,,3000000000.0,1346000000.0,,30000000000.0,3000000000.0,0.0
0.0,60132.0,,,0.0,60.0,43.0,,0.0,30.0,7200000000.0,0.0,,,,599647.0,72000000.0,0.0,,,,,-9.0,466204.0,,2.0,,240.0,,850000000.0,,0.0,,0.0,180000000.0,,4320000000.0,0.0,0.0
0.0,60491.0,,,0.0,70.0,120.0,,100000000.0,100.0,27000000000.0,0.0,,,,599648.0,96000000.0,100.0,,,,,10000000000.0,466209.0,,2.0,,254.0,,6000000000.0,,0.0,,2500000000.0,2400000000.0,,18900000000.0,2500000000.0,2500000000.0
0.0,,,,0.0,100.0,130.0,10806.0,-9.0,0.0,75000000000.0,0.0,,,,599648.0,96000000.0,20.0,,,,,1500000000.0,,,3.0,,,,20000000000.0,,0.0,,6000000000.0,7000000.0,,75000000000.0,6000000000.0,1200000000.0
0.0,60482.0,,,0.0,100.0,42.0,,8800000.0,100.0,4400000000.0,0.0,,,,599650.0,150000000.0,50.0,,,,,2900000000.0,466216.0,,2.0,,265.0,,606400000.0,,0.0,,0.0,508000000.0,,4400000000.0,0.0,0.0
50000000.0,,,,0.0,100.0,50.0,10813.0,1000000000.0,60.0,15000000000.0,0.0,,,,599650.0,,60.0,,,,,7000000000.0,,,2.0,,,,1800000000.0,,0.0,,1500000000.0,1200000000.0,,15000000000.0,1550000000.0,930000000.0
0.0,60136.0,,,0.0,90.0,71.0,,-9.0,100.0,-9.0,0.0,,,,599651.0,,100.0,,,,,-9.0,466217.0,,3.0,,267.0,,-9.0,,0.0,,0.0,-9.0,,-8.1,0.0,0.0
0.0,,,,0.0,100.0,50.0,10814.0,1600000000.0,100.0,20000000000.0,0.0,,,,599651.0,,100.0,,,,,16000000000.0,,,2.0,,,,1600000000.0,,0.0,,0.0,200000000.0,,20000000000.0,0.0,0.0
0.0,60131.0,,,0.0,55.0,105.0,,60000000.0,90.0,20102000000.0,1.0,,,,599652.0,300000000.0,50.0,,,,,9450000000.0,466218.0,,3.0,,269.0,,3800000000.0,,0.0,,700000000.0,720000000.0,,11056100000.0,700000000.0,350000000.0
0.0,,,,0.0,40.0,145.0,10815.0,,0.0,20000000000.0,0.0,,7000000000.0,,599652.0,420000000.0,0.0,,,,,,,,3.0,,,,9600000000.0,,0.0,-9.0,0.0,1300000000.0,,8000000000.0,0.0,0.0
0.0,61120.0,,,550000000.0,80.0,87.0,,-9.0,30.0,8200000000.0,0.0,,,,599653.0,84000000.0,40.0,,,,,4100000000.0,466221.0,,3.0,,285.0,,1800000000.0,,0.0,,250000000.0,36000000.0,,6560000000.0,800000000.0,320000000.0
0.0,61014.0,,,0.0,85.0,200.0,,900000000.0,0.0,50000000000.0,0.0,,,,599654.0,,100.0,,,,,36000000000.0,466223.0,,3.0,,288.0,,8000000000.0,,0.0,,4000000000.0,360000000.0,,42500000000.0,4000000000.0,4000000000.0
0.0,,,,0.0,100.0,198.0,10820.0,500000000.0,100.0,145000000000.0,0.0,,,,599654.0,350000000.0,100.0,,,,,3000000000.0,,,3.0,,,,18400000000.0,,0.0,,3900000000.0,-9.0,,145000000000.0,3900000000.0,3900000000.0
0.0,61017.0,,,11000000000.0,99.0,150.0,,6000000000.0,100.0,30000000000.0,0.0,,,,599655.0,100000000.0,100.0,,,,,14000000000.0,466233.0,,3.0,,307.0,,5000000000.0,,0.0,,21000000000.0,4000000000.0,,29700000000.0,32000000000.0,32000000000.0
50000000.0,,,,0.0,30.0,120.0,10830.0,6000000000.0,100.0,70000000000.0,0.0,,,,599655.0,,0.0,,,,,40000000000.0,,,2.0,,,,8000000000.0,,1.0,,400000000.0,7000000000.0,,21000000000.0,450000000.0,0.0
