idstd2015,id2015,idstd2009,id2009,idstd2005,id2005,a6a,c9b,d1a3,d2,d10,d11,_2015_h8,i2b,i4b,n2a,n2b,n2i,n2e,n2f,n5a,n5b,_2015_h8,l1,k1c,k2c,main_activity_sales,total_purchases_2015,purchased_on_credit
599713.0,10992.0,,,,,3.0,,60.0,1120000000000.0,0.0,0.0,0.0,,,22000000000.0,1500000000.0,,300000000000.0,1200000000.0,0.0,0.0,0.0,2000.0,30.0,30.0,672000000000.0,0.0,0.0
599714.0,10994.0,,,,,3.0,,30.0,2564000000000.0,0.0,0.0,20000000000.0,,,46000000000.0,3000000000.0,,2208000000000.0,5000000000.0,0.0,0.0,20000000000.0,7000.0,50.0,50.0,769200000000.0,20000000000.0,10000000000.0
599715.0,10999.0,,,,,3.0,,40.0,57000000000.0,0.0,0.0,0.0,150000000.0,,25000000000.0,250000000.0,,31000000000.0,200000000.0,800000000.0,0.0,0.0,400.0,0.0,90.0,22800000000.0,800000000.0,0.0
599717.0,11018.0,,,,,2.0,,100.0,160000000000.0,0.0,0.0,300000000.0,,,4000000000.0,600000000.0,,80000000000.0,500000000.0,0.0,0.0,300000000.0,50.0,60.0,60.0,160000000000.0,300000000.0,180000000.0
599718.0,11023.0,,,,,2.0,,30.0,118000000000.0,0.0,5.0,1100000000.0,4800000000.0,90000000.0,-9.0,4800000000.0,,72000000000.0,-9.0,400000000.0,25000000000.0,1100000000.0,80.0,0.0,100.0,35400000000.0,26500000000.0,0.0
599720.0,11029.0,,,,,3.0,,40.0,212000000000.0,0.0,0.0,0.0,100000000.0,,12500000000.0,150000000.0,,32000000000.0,500000000.0,0.0,0.0,0.0,110.0,100.0,60.0,84800000000.0,0.0,0.0
599721.0,11030.0,,,,,3.0,,50.0,88000000000.0,0.0,0.0,50000000000000.0,250000000.0,,3000000000.0,1500000000.0,,2000000000.0,1000000000.0,4000000000000.0,0.0,50000000000000.0,2400.0,90.0,100.0,44000000000.0,54000000000000.0,48600000000000.0
599722.0,11032.0,,,,,3.0,,50.0,80000000000.0,0.0,0.0,0.0,5000000000.0,,24000000000.0,500000000.0,-9.0,,,0.0,0.0,0.0,190.0,50.0,50.0,40000000000.0,0.0,0.0
599723.0,11033.0,,,,,3.0,,70.0,20000000000.0,0.0,1.0,0.0,8000000000.0,,900000000.0,800000000.0,,1000000000.0,-9.0,0.0,10000000000.0,0.0,272.0,50.0,100.0,14000000000.0,10000000000.0,5000000000.0
599724.0,11034.0,,,,,3.0,,60.0,45000000000.0,0.0,0.0,0.0,,,9000000000.0,1100000000.0,,22000000000.0,1000000000.0,0.0,0.0,0.0,100.0,50.0,50.0,27000000000.0,0.0,0.0
599728.0,11053.0,,,,,2.0,,44.0,56480000000.0,0.0,0.0,0.0,1200000000.0,,5000000000.0,200000000.0,,46000000000.0,800000000.0,0.0,0.0,0.0,70.0,20.0,60.0,24851200000.0,0.0,0.0
599436.0,10011.0,,,,,2.0,,80.0,151775000000.0,0.0,0.0,0.0,360000000.0,,32703000000.0,1016000000.0,-9.0,,,700000000.0,0.0,0.0,120.0,95.0,90.0,121420000000.0,700000000.0,665000000.0
599437.0,10014.0,,,,,3.0,,90.0,40000000000.0,0.0,1.0,0.0,15000000.0,,15000000000.0,240000000.0,,20000000000.0,3000000000.0,0.0,0.0,0.0,120.0,30.0,100.0,36000000000.0,0.0,0.0
599443.0,10035.0,,,,,3.0,,100.0,4000000000.0,0.0,0.0,0.0,160000000.0,,2800000000.0,100000000.0,,-9.0,0.0,5800000000.0,0.0,0.0,55.0,100.0,70.0,4000000000.0,5800000000.0,5800000000.0
599445.0,10041.0,,,,,2.0,,40.0,100000000000.0,5.0,0.0,50000000.0,120000000.0,500000000.0,4300000000.0,240000000.0,,2000000000.0,30000000000.0,0.0,0.0,50000000.0,60.0,10.0,80.0,40000000000.0,50000000.0,5000000.0
599448.0,10054.0,,,,,3.0,,70.0,120000000000.0,1.0,0.0,500000000.0,200000000.0,,12000000000.0,4000000000.0,70000000000.0,,,0.0,0.0,500000000.0,300.0,40.0,0.0,84000000000.0,500000000.0,200000000.0
599457.0,10096.0,,,,,2.0,,90.0,21000000000.0,0.0,0.0,0.0,120000000.0,,6000000000.0,270000000.0,,7000000000.0,550000000.0,1500000000.0,0.0,0.0,77.0,30.0,50.0,18900000000.0,1500000000.0,450000000.0
599460.0,10111.0,,,,,2.0,,70.0,5000000000.0,0.0,0.0,-9.0,50000000.0,,1500000000.0,36000000.0,,2400000000.0,80000000.0,100000000.0,500000000.0,-9.0,50.0,0.0,20.0,3500000000.0,599999991.0,0.0
599464.0,10125.0,,,,,3.0,,-9.0,300000000000.0,-9.0,0.0,-9.0,,,42000000000.0,5000000000.0,,22500000000.0,18000000000.0,0.0,0.0,-9.0,488.0,-9.0,-9.0,-27000000000.0,-9.0,0.8099999999999999
599467.0,10128.0,,,,,2.0,,100.0,200000000000.0,0.0,1.0,0.0,,,2700000000.0,600000000.0,,89000000000.0,700000000.0,0.0,0.0,0.0,60.0,30.0,30.0,200000000000.0,0.0,0.0
599471.0,10142.0,,,,,2.0,,70.0,20000000000.0,0.0,0.0,0.0,,,5000000000.0,60000000.0,53000.0,,,500000000.0,0.0,0.0,70.0,-9.0,-9.0,14000000000.0,500000000.0,-45000000.0
599475.0,10165.0,,,,,2.0,,100.0,7000000000.0,0.0,0.0,0.0,5400000000.0,,3000000000.0,84000000.0,-9.0,,,0.0,0.0,0.0,70.0,0.0,0.0,7000000000.0,0.0,0.0
599477.0,10170.0,,,,,3.0,,100.0,930000000000.0,0.0,0.0,0.0,240000000.0,,16600000000.0,2500000000.0,,550000000000.0,2400000000.0,20000000000.0,0.0,0.0,200.0,10.0,10.0,930000000000.0,20000000000.0,2000000000.0
599478.0,10175.0,,,,,2.0,,80.0,14000000000.0,0.0,2.0,300000000.0,,,4500000000.0,1100000000.0,,4000000000.0,1500000000.0,1500000000.0,1500000000.0,300000000.0,95.0,15.0,40.0,11200000000.0,3300000000.0,495000000.0
599481.0,10184.0,,,,,3.0,,100.0,40000000000.0,0.0,0.0,0.0,1300000000.0,,10000000000.0,360000000.0,,12000000000.0,360000000.0,0.0,0.0,0.0,100.0,0.0,50.0,40000000000.0,0.0,0.0
